item_id,item_name,img,major_id,mid_id
,MA-1,img\item\topps\topps(1).png,2,44
,No.1のふく,img\item\topps\topps(2).png,2,44
,No.2のふく,img\item\topps\topps(3).png,2,44
,No.3のふく,img\item\topps\topps(4).png,2,44
,No.4のふく,img\item\topps\topps(5).png,2,44
,OKモータースジャケット,img\item\topps\topps(6).png,2,44
,あんないがかりのふく,img\item\topps\topps(7).png,2,44
,いたまえのふく,img\item\topps\topps(8).png,2,44
,いちばんぼしのふく,img\item\topps\topps(9).png,2,44
,うさぎのＴシャツ,img\item\topps\topps(10).png,2,44
,うでカバーつきエプロン,img\item\topps\topps(11).png,2,44
,うみのはんてん,img\item\topps\topps(12).png,2,44
,えいじＴシャツ,img\item\topps\topps(13).png,2,44
,えきでんなふく,img\item\topps\topps(14).png,2,44
,えんびふく,img\item\topps\topps(15).png,2,44
,おうさまのふく,img\item\topps\topps(16).png,2,44
,おうじさまシャツ,img\item\topps\topps(17).png,2,44
,おおばんストールＴシャツ,img\item\topps\topps(18).png,2,44
,かいきんシャツ,img\item\topps\topps(19).png,2,44
,かいとうのふく,img\item\topps\topps(20).png,2,44
,かえるのＴシャツ,img\item\topps\topps(21).png,2,44
,かさねぎプリントＴシャツ,img\item\topps\topps(22).png,2,44
,かさねぎＴシャツ,img\item\topps\topps(23).png,2,44
,かすみのふく,img\item\topps\topps(24).png,2,44
,かっちゅう,img\item\topps\topps(25).png,2,44
,かんごしのジャケット,img\item\topps\topps(26).png,2,44
,かんじＴシャツ,img\item\topps\topps(27).png,2,44
,がくしのふく,img\item\topps\topps(28).png,2,44
,がくせいふく,img\item\topps\topps(29).png,2,44
,がらものフリース,img\item\topps\topps(30).png,2,44
,きぞくのコート,img\item\topps\topps(31).png,2,44
,きのセーター,img\item\topps\topps(32).png,2,44
,くまのＴシャツ,img\item\topps\topps(33).png,2,44
,けっしょうのセーター,img\item\topps\topps(34).png,2,44
,こうつうゆうどうのふく,img\item\topps\topps(35).png,2,44
,こしまきシャツ,img\item\topps\topps(36).png,2,44
,こんにちはＴシャツ,img\item\topps\topps(37).png,2,44
,さかなＴシャツ,img\item\topps\topps(38).png,2,44
,さぎょうふく,img\item\topps\topps(39).png,2,44
,ししゅうのキャミソール,img\item\topps\topps(40).png,2,44
,しましまＴシャツ,img\item\topps\topps(41).png,2,44
,じゅうきしのふく,img\item\topps\topps(42).png,2,44
,すこやかなセーター,img\item\topps\topps(43).png,2,44
,そうがんきょうつきベスト,img\item\topps\topps(44).png,2,44
,そでなしＧジャン,img\item\topps\topps(45).png,2,44
,たいそうふく,img\item\topps\topps(46).png,2,44
,たきのうベスト,img\item\topps\topps(47).png,2,44
,たぬきかいはつアロハ,img\item\topps\topps(48).png,2,44
,たぬきかいはつアロハ・グリーン,img\item\topps\topps(49).png,2,44
,たぬきかいはつアロハ・コーラル,img\item\topps\topps(50).png,2,44
,たぬきかいはつブルゾン,img\item\topps\topps(51).png,2,44
,たぬきかいはつＴシャツ,img\item\topps\topps(52).png,2,44
